RowID,Date Marked Complete,UDOT Region,Person Working Title,UDOT Unit,Construction Site Stormwater Runoff Control,Long-Term Stormwater Management,Pollution Prevention and Good Housekeeping,Stormwater Pollution Prevention and IDDE,Progress,Stormwater Pollution Prevention and IDDE-,Long-Term Stormwater Management-,Pollution Prevention and Good Housekeeping-,Construction Site Stormwater Runoff Control-
3665655,07/02/2018 12:00:00 AM,Region 4,Station Supervisor,4453 - Moab,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3207195,07/05/2018 12:00:00 AM,Complex,Engineering Manager II,8403 - Special Projects,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5588217,07/04/2018 12:00:00 AM,Region 1,Transportation Technician II,1427 - Centerville,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3518883,07/30/2018 12:00:00 AM,Complex,Engineering Manager II,8291 - Planning,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5557680,09/07/2018 12:00:00 AM,Complex,Construction Management/General Contractor Administrator,8116 - Procurement,0,0,1,1,0.25,Successful,Not Assigned,Successful,Not Assigned
3097602,07/02/2018 12:00:00 AM,Region 2,Region Materials Engineering Manager II,2266 - R2 Materials Lab Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2929959,07/03/2018 12:00:00 AM,Region 4,Maintenance Area Supervisor,4411 - Maintenance Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2926314,07/12/2018 12:00:00 AM,Region 4,Transportation Technician III - Inspection,4466 - Loa,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2882736,07/02/2018 12:00:00 AM,Region 3,Station Supervisor,3448 - Carpenter Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3097953,07/02/2018 12:00:00 AM,Region 4,Maintenance Area Supervisor,4411 - Maintenance Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5094954,07/03/2018 12:00:00 AM,Region 2,Engineering Manager I,2266 - R2 Materials Lab Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5619969,07/03/2018 12:00:00 AM,Region 2,Transportation Technician I,2424 - Salt Lake City West,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3133998,07/09/2018 12:00:00 AM,Complex,Title Vi Specialist,8204 - Civil Rights,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3678048,07/17/2018 12:00:00 AM,Complex,Engineering Manager II,8214 - Research,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3173040,07/25/2018 12:00:00 AM,Region 1,Transportation Technician II,1445 - Logan Summit/Seal,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4482459,07/05/2018 12:00:00 AM,Region 1,Resident Engineer,1754 - Ogden,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5208786,07/04/2018 12:00:00 AM,Complex,Journey Auto Worker,8731 - Region 3 Shops,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5105592,07/02/2018 12:00:00 AM,Complex,Engineering Manager I,8384 - tmd signal operations,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5506191,07/30/2018 12:00:00 AM,Region 3,Transportation Technician II,3435 - Roosevelt,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4429026,08/29/2018 12:00:00 AM,Region 3,Construction Materials Lab Technician,3752 - R3 North Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3446199,07/03/2018 12:00:00 AM,Complex,Financial Analyst I,8130 - Comptroller,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5507379,07/12/2018 12:00:00 AM,Region 2,Trans Tech II (Job Series Tt3),2753 - R2 Crew 3,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2852496,07/27/2018 12:00:00 AM,Region 2,Region Traffic Engineer,2158 - Safety Loss Control,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3636144,07/05/2018 12:00:00 AM,Region 4,Udot Safety/Risk Mgmt Specialist,4155 - R4 Operations,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3830193,07/25/2018 12:00:00 AM,Region 4,Resident Engineer,4763 - R4 Crew 3,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3775599,07/02/2018 12:00:00 AM,Region 2,Transportation Technician III,2758 - R2 Crew 8,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3683745,07/31/2018 12:00:00 AM,Region 4,Engineering Tech IV - Lead Level Inspection,4761 - R4 Crew 1,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4653828,08/27/2018 12:00:00 AM,Region 4,Transportation Technician III,4476 - Cedar City,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5349780,07/31/2018 12:00:00 AM,Complex,Incident Management Specialist,8391 - imt administration,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2935521,08/06/2018 12:00:00 AM,Complex,Business Analyst,8152 - POE Business Systems,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4508244,07/11/2018 12:00:00 AM,Region 4,Construction Materials Lab Technician,4762 - R4 Crew 2,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4727133,07/09/2018 12:00:00 AM,Region 4,Transportation Technician II,4452 - Monticello,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4931658,07/02/2018 12:00:00 AM,Region 4,Transportation Technician I,4479 - Beaver,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2777868,07/02/2018 12:00:00 AM,Region 3,Project Manager,3250 - R3 Project Management,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4633767,07/02/2018 12:00:00 AM,Region 4,Land & Building Project Manager,4488 - R4 Buildings/Grounds,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3120147,07/16/2018 12:00:00 AM,Complex,Engineering Manager I,8294 - Pavement Management,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3270159,07/10/2018 12:00:00 AM,Complex,Financial Analyst I,8307 - Maintenance Planning,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5178222,07/25/2018 12:00:00 AM,Region 4,Transportation Technician III - Maintenance,4453 - Moab,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4763934,07/05/2018 12:00:00 AM,Complex,Engineering Manager I,8205 - Contract Construction,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5297400,07/16/2018 12:00:00 AM,Region 4,Roadway Design Engineer,4208 - Design Crew 2,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4924773,07/02/2018 12:00:00 AM,Region 3,Station Supervisor,3436 - Manila,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3096225,07/17/2018 12:00:00 AM,Region 2,Maintenance Area Supervisor,2411 - Region 2 Maint Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4316895,07/25/2018 12:00:00 AM,Region 4,Region Right Of Way Engineer,4209 - ROW Unit,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4412907,07/02/2018 12:00:00 AM,Region 1,Senior Roadway Design Engineer,1207 - Design Crew 1,1,1,0,1,0.375,Successful,Successful,Not Assigned,Successful
5074164,07/27/2018 12:00:00 AM,Region 2,Transportation Technician I,2427 - Draper,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5038956,07/02/2018 12:00:00 AM,Complex,Bridge  Design Engineer,8263 - Structures Bridge Management,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5319702,07/10/2018 12:00:00 AM,Region 3,Transportation Technician II,3423 - Lehi,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5347377,07/03/2018 12:00:00 AM,Complex,Port Of Entry Agent III,8143 - POE Wendover,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5528277,07/10/2018 12:00:00 AM,Region 3,Engineer II,3751 - R3 East Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4403430,07/03/2018 12:00:00 AM,Region 4,District Permits Officer II,4155 - R4 Operations,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3095496,07/03/2018 12:00:00 AM,Region 4,Construction Technician IV (Office),4763 - R4 Crew 3,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5075730,07/30/2018 12:00:00 AM,Region 1,Transportation Technician III,1437 - Laketown,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4501278,07/17/2018 12:00:00 AM,Complex,Port Of Entry Agent III,8145 - POE St George,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3195369,07/11/2018 12:00:00 AM,Region 2,Transportation Technician III,2433 - Cottonwood,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5144634,07/18/2018 12:00:00 AM,Complex,Transportation Technician II,8405 - SW Alternative Delivery Projects,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4419090,08/02/2018 12:00:00 AM,Region 1,Transportation Technician III,1426 - Morgan,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4301397,07/02/2018 12:00:00 AM,Region 2,Engineer II,2207 - Design Team 1,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4027860,07/26/2018 12:00:00 AM,Complex,Motor Carrier Specialist III,8141 - POE Headquarters,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4494555,08/01/2018 12:00:00 AM,Region 3,Transportation Technician II,3437 - Vernal,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5454999,07/07/2018 12:00:00 AM,Complex,Port Of Entry Agent III,8142 - POE Perry,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5567076,07/09/2018 12:00:00 AM,Region 2,Transportation Technician I,2431 - West Jordan,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4384530,07/02/2018 12:00:00 AM,Region 2,Facilities Coordinator I,2448 - Carpenter,1,0,0,1,0.25,Successful,Not Assigned,Not Assigned,Successful
3292947,07/13/2018 12:00:00 AM,Region 2,Transportation Technician II,2438 - Echo,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5100381,07/03/2018 12:00:00 AM,Complex,Electronic Technical Specialist II,8387 - tmd express lane maintenance,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5523795,08/01/2018 12:00:00 AM,Region 4,Transportation Technician II,4465 - Sevier,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4926177,07/16/2018 12:00:00 AM,Complex,Equipment Shop Supervisor,8711 - Region 1 Shops,0,0,1,1,0.25,Successful,Not Assigned,Successful,Not Assigned
4823577,07/03/2018 12:00:00 AM,Region 4,Transportation Technician II,4470 - Escalante,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2916189,07/05/2018 12:00:00 AM,Complex,Financial Analyst I,8130 - Comptroller,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3147444,07/03/2018 12:00:00 AM,Complex,Engineering Manager III - Admin.Udot,8206 - Highway Project Mgmt Team,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
2894859,07/12/2018 12:00:00 AM,Region 4,Transportation Technician II,4451 - Blanding,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5421681,07/19/2018 12:00:00 AM,Region 4,Transportation Technician II,4463 - Salina,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5623938,07/10/2018 12:00:00 AM,Complex,Journey Auto Worker,8711 - Region 1 Shops,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3885219,07/27/2018 12:00:00 AM,Region 2,Financial Analyst II,2100 - R2 Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4073301,07/02/2018 12:00:00 AM,Region 4,Transportation Technician II,4460 - Colton,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5113557,07/02/2018 12:00:00 AM,Region 1,Transportation Technician II,1432 - Bothwell,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5728050,07/05/2018 12:00:00 AM,Complex,Journey Auto Worker,8721 - Region 2 Shops,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5368572,07/16/2018 12:00:00 AM,Region 1,Transportation Technician II,1427 - Centerville,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5135157,07/30/2018 12:00:00 AM,Region 4,Transportation Technician III - Inspection,4761 - R4 Crew 1,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3089988,07/09/2018 12:00:00 AM,Region 3,Station Supervisor,3445 - Strawberry Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4751109,08/03/2018 12:00:00 AM,Complex,Financial Manager II,8130 - Comptroller,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4606578,07/19/2018 12:00:00 AM,Complex,Lead Incident Management,8391 - imt administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4651371,07/28/2018 12:00:00 AM,Region 2,Maintenance Engineer,2411 - Region 2 Maint Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4434480,08/03/2018 12:00:00 AM,Complex,Executive Assistant,8111 - Support Services,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3539970,07/19/2018 12:00:00 AM,Region 4,Transportation Technician III,4456 - Huntington,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5489586,07/16/2018 12:00:00 AM,Region 3,Transportation Technician II,3426 - Spanish Fork,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5753808,07/03/2018 12:00:00 AM,Complex,Port Of Entry Agent II,8144 - POE Echo,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5378508,08/06/2018 12:00:00 AM,Region 4,Transportation Technician II,4475 - Beryl,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5678856,08/06/2018 12:00:00 AM,Region 4,Accounting Technician III,4100 - R4 Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3183435,07/02/2018 12:00:00 AM,Region 4,Transportation Technician III,4460 - Colton,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4602258,07/31/2018 12:00:00 AM,Complex,Engineering Manager I,8384 - tmd signal operations,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5749110,08/14/2018 12:00:00 AM,Complex,Journey Welder,8754 - Central Weld/Fab Shop,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5178465,07/31/2018 12:00:00 AM,Region 4,Area Engineer,4411 - Maintenance Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5232087,06/30/2018 12:00:00 AM,Region 4,Transportation Technician II,4473 - Purgatory,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2920725,07/09/2018 12:00:00 AM,Region 4,Station Supervisor,4455 - Green River,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4160187,07/09/2018 12:00:00 AM,Complex,Statewide Permits Officer,8226 - ROW Utilities/Permits,0,0,1,1,0.25,Successful,Not Assigned,Successful,Not Assigned
4776300,07/05/2018 12:00:00 AM,Region 1,Region Communications Manager,1100 - R1 Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3570912,07/09/2018 12:00:00 AM,Region 4,Resident Engineer,4762 - R4 Crew 2,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5389308,08/09/2018 12:00:00 AM,Region 2,Transportation Technician I,2434 - Parleys,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3794553,08/02/2018 12:00:00 AM,Complex,Udot Chief Emergency Manager,8383 - tmd traffic operations,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5470632,07/30/2018 12:00:00 AM,Region 2,Transportation Technician III,2434 - Parleys,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4620942,07/05/2018 12:00:00 AM,Region 2,Resident Engineer,2758 - R2 Crew 8,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5580279,06/29/2018 12:00:00 AM,Complex,Transportation Planner,8291 - Planning,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5233869,07/12/2018 12:00:00 AM,Complex,Journey Auto Worker,8746 - Cedar City Dist Shops,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4038660,09/04/2018 12:00:00 AM,Complex,Business Analyst Supervisor,8307 - Maintenance Planning,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
2918916,07/03/2018 12:00:00 AM,Complex,It Programmer Analyst,8282 - Standards & Design,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3408993,08/07/2018 12:00:00 AM,Region 2,Construction Materials Lab Technician,2756 - R2 Crew 6,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4352913,07/03/2018 12:00:00 AM,Region 1,Office Specialist II,1266 - R1 Materials Lab Admin,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5459913,07/02/2018 12:00:00 AM,Complex,Engineering Manager I,8261 - Structures Administration,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5379993,07/25/2018 12:00:00 AM,Region 4,Transportation Technician II,4463 - Salina,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4362390,07/19/2018 12:00:00 AM,Complex,Electronics Supervisor,8382 - tmd system maintenance,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4633740,08/01/2018 12:00:00 AM,Region 4,Construction Transportation Technician III,4766 - R4 Crew 6,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5031909,07/31/2018 12:00:00 AM,Region 2,Transportation Technician III,2427 - Draper,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4725999,07/05/2018 12:00:00 AM,Region 4,Project Manager,4250 - Project Manager,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3301938,07/03/2018 12:00:00 AM,Complex,Materials Engineering Assistant,8272 - Bituminous Materials,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2934117,07/18/2018 12:00:00 AM,Region 3,Station Supervisor,3443 - Paint Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2823363,07/16/2018 12:00:00 AM,Complex,Statewide Stip Coordinator - Udot,8293 - Programng/Public Transit,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5059746,07/11/2018 12:00:00 AM,Complex,Journey Auto Worker,8753 - Central H - D Shop,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3082644,07/09/2018 12:00:00 AM,Region 4,Station Supervisor,4454 - Thompson,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5446521,07/17/2018 12:00:00 AM,Region 4,Transportation Technician III - Materials,4463 - Salina,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5006124,07/23/2018 12:00:00 AM,Region 2,Transportation Technician II,2433 - Cottonwood,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3093687,07/02/2018 12:00:00 AM,Region 4,Station Supervisor,4481 - Cove Fort,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5668623,07/10/2018 12:00:00 AM,Region 2,Transportation Technician I,2425 - Salt Lake City East,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4002642,07/02/2018 12:00:00 AM,Region 3,Transportation Technician II,3443 - Paint Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4309362,08/23/2018 12:00:00 AM,Region 4,Resident Engineer,4764 - R4 Crew 4,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5619186,07/02/2018 12:00:00 AM,Region 4,Transportation Technician II,4484 - Scipio,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4079214,07/04/2018 12:00:00 AM,Region 4,Construction Technician IV (Office),4766 - R4 Crew 6,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5751324,07/03/2018 12:00:00 AM,Region 4,Transportation Technician I,4452 - Monticello,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4011579,07/31/2018 12:00:00 AM,Region 3,Project Manager,3250 - R3 Project Management,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4107105,08/22/2018 12:00:00 AM,Region 3,Station Supervisor,3431 - Heber,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3278151,07/19/2018 12:00:00 AM,Complex,Auditor II,8132 - Internal Audit,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4691682,07/05/2018 12:00:00 AM,Region 1,Materials Lab Technician III,1266 - R1 Materials Lab Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3116988,07/02/2018 12:00:00 AM,Complex,Engineering Manager II,8271 - Central Matl Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2810727,07/16/2018 12:00:00 AM,Region 4,Maintenance Area Supervisor,4411 - Maintenance Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4523391,07/09/2018 12:00:00 AM,Region 2,Transportation Technician III,2424 - Salt Lake City West,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5330853,08/28/2018 12:00:00 AM,Region 1,Transportation Technician II,1424 - Clearfield,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4138776,07/19/2018 12:00:00 AM,Complex,Traffic Data Analyst,8373 - Crash Studies,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5375943,08/08/2018 12:00:00 AM,Region 2,Transportation Technician I,2430 - Salt Lake City Central,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3537972,07/15/2018 12:00:00 AM,Region 1,Project Manager,1250 - Project Manager,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5110938,08/15/2018 12:00:00 AM,Region 2,Financial Analyst III,2100 - R2 Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5425974,08/01/2018 12:00:00 AM,Region 4,Transportation Technician I,4473 - Purgatory,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5517720,06/28/2018 12:00:00 AM,Complex,INTERN,8115 - Learning & Development,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2898099,07/02/2018 12:00:00 AM,Region 4,Field Engineer,4765 - R4 Crew 5,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5125815,07/16/2018 12:00:00 AM,Complex,Incident Management Specialist,8391 - imt administration,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4016574,06/30/2018 12:00:00 AM,Region 4,Station Supervisor,4465 - Sevier,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5217372,07/18/2018 12:00:00 AM,Region 4,Transportation Technician II,4467 - Hanksville,1,1,1,1,0.5,Successful,Successful,Successful,Successful
